Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,516814258695.568,517962962962.963,460290556900.726,435083713850.837,395077301248.464,395531066563.296,391719993756.828,404926534140.017,270953116950.026,195905767668.562,259708496267.33,306602673980.117,345110438692.185,430347770731.787,591016690742.798,764017107992.391,989930542278.695,1299705247685.76,1660844408499.61,1222643696991.85,1524916112078.87,2051661732059.78,2210256976945.38,2297128039058.21,2063662665171.89,1365864126832.81,1283162985989.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/21/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
